title,label
Mum of twins who says home was bombed in Lebanon speaks to BBC,1
"Artemis II Crew, ISS Astronauts Speak On First Ship-To-Ship Space Call",1
How to get better at guitar,1
Trump's Iran Ceasefire: Everyone's Relaxed Except Gold. What Does It Know?,1
"17 Wholesome Posts That Will Definitely Restore Your Faith In Humanity
My heart is so full.:’)",0
"Trump's deadline looms but Asian nations already have deals with Iran
Nations in the region have been keen to reach agreements as their economies are heavily reliant on Middle East energy.
1 day ago
Business",1
"How Pakistan helped secure a fragile ceasefire between the US and Iran
Pakistan has a historic relationship with Iran, but an agreement was far from certain, writes the BBC’s Caroline Davies",1
Nitesh Tiwari's 'Ramayana' Just Dropped Its First Look And It Is Perfect,0
The Labubu Craze Is Still Going Strong And These 25 Memes Are Absolutely Sending Me,0
"LIVE
Iran and US agree to conditional two-week ceasefire and opening of Hormuz strait
Pakistan says it will host talks between the two sides on Friday. Israel says it supports the ceasefire but it ""does not include Lebanon"".",1
US and Iran agree to provisional ceasefire,1
"4
Earthset and a solar eclipse: Nasa releases first images from Moon fly-by",1
Build Your Perfect Partner And We'll Guess Your Love Language,0
Lindsay Lohan's 'Pink Slip' Just Performed At Disneyland And My Inner Teen Is Absolutely Screaming,0
"Nine policemen sentenced to death in India over Covid custody killings
The father and son died in jail after being arrested on suspicion of breaching Covid lockdown rules in 2020.
1 day ago
Asia",1
This McDonald's In Budapest Transforms Into A Full-On Nightclub And I'm Spiraling,0
"I Tested Zudio Makeup Products So You Don't Have To, And Honestly Some Are Surprisingly Worth Every Penny",0
9 Times Justin Bieber Reminded Us That Being A Husband Isn’t Exactly His Strong Suit,0
Tributes after British teenager dies while visiting Vietnam,1
"Rupee Surges 50 Paise Against US Dollar In Early Trade After US, Iran Truce",1
Assemble Your Perfect Indian 'Brooklyn Nine-Nine' Squad And We'll Guess The Episode You Can't Stop Quoting,0
I Switched From An Indian School To An American School For 6 Years—Here Are 13 Things That Gave Me A Major Culture Shock,0
"Iranians form human chains at bridges and power plants
Tehran had urged people to gather outside potential US and Israeli targets after Donald Trump threatened to attack civilian infrastructure.
10 hrs ago
World",1
US-Israel-Iran War LIVE,1
21 Beauty Products BuzzFeed India Readers Loved Buying In 2021,0
AI Vs Local | Mumbai Matcha Drinks,0
A whole boss fight in 256 bytes,1
"If You're A K-Beauty Enthusiast, You'll Definitely Be Able To Name These Makeup Brands From A Single Image",0
"Watch: Artemis II's historic lunar flyby... in 90 seconds
The four astronauts in the Orion spacecraft set a new record for distance travelled from Earth.
19 hrs ago
US & Canada",1
"Social Media Has Completely Transformed How We Consume, And It's Not Just About Matcha Getting Sold Out",0
"Why the Strait of Hormuz matters so much in the Iran war
Tehran says it has agreed to open the Strait of Hormuz for two weeks ""if attacks against Iran are halted"".",1
"Top Australian soldier charged with war crimes to remain in jail after bail hearing
Ben Roberts-Smith faces five charges of the war crime of murder, which has a penalty of life in prison.
3 hrs ago
World",1
Who *Had* The Best Zepto Cafe Order?,0
Stephen Colbert’s Late Show Is Getting Canceled And These 11 Hilarious Moments Prove Why I'll Miss It,0
French couple leave Iran after more than three years in jail,1
"India's high-growth economy gets a Middle East oil shock
India's currency, stocks and growth projections take a beating as the country faces a triple energy shock due to Iran war.
1 day ago
World",1
7 Fabulous LGBTQ+ Owned Restaurants In India That Deserve All Your Money Right Now,0
"Your ""Criminal Minds"" Episode Choices Will Reveal Which BAU Agent Would Be Your Perfect Partner",0
Survive The Apocalypse And We’ll Reveal Exactly How Your Friend Group Will Betray You,0
"6
Trump threatens to take out Iran in 'one night' if no deal before deadline",1
21 Gadgets That BuzzFeed India Readers Could Not Get Enough Of In 2021,0
Who Has The Best Chaayos Order?,0
"Wireless Festival cancelled after Kanye West blocked from coming to UK
West was due to headline the festival in July but drew criticism over past antisemitic comments.
10 hrs ago
Culture",1
"Two protests, two elections: How Nepal's Gen Z succeeded where Bangladesh's stumbled
How did a youth movement triumph in one country but fall so short in another?
2 days ago
Asia",1
Native Americans had dice 12k years ago,1
A truck driver spent 20 years making a scale model of every building in NYC,1
21 Things Under ₹500 That You Should Gift Yourself Before 2021 Ends,0
AI vs Local | Best Indian Chinese,0
Xilem – An experimental Rust native UI framework,1
These 15 Brutal City Roasts By ChatGPT Are The Funniest Thing You’ll Read Today,0
These Designers Are Making Items Out Of Things You’d Never Expect,0
"We're Closer To 2050 Than 2000, And Here Are 61 Moments In Pop Culture The Defined The Past 25 Years",0
"Indian migrant workers hit by cooking gas shortages are leaving cities
Migrant workers say they are struggling to access cooking gas cylinders as the Iran war squeezes supplies.
8 hrs ago
World",1
Lunar Flyby,1
"21 Kitchen Appliances That Were A Hit Amongst BuzzFeed India Readers In 2021
We really leaned into make our kitchens more efficient this year.",0
Running out of disk space in production,1
LLM scraper bots are overloading acme.com's HTTPS server,1
Slightly safer vibecoding by adopting old hacker habits,1
Your Superhero Choices Will Expose What Kind Of Evil Villainous Origin Story You'll Have,0
"I Was Getting Tired Of Modern Dating, And Then 'Materialists' Came Out And Made Me Feel Again",0
"8
The US refinery now processing Venezuelan oil",1
Christopher Nolan Just Announced His Cast For The Odyssey And I'm Literally Having A Film Geek Meltdown Right Now,0
Video: Employee Starts Massive Fire At California Toilet Paper Warehouse,1
"Iran ceasefire deal a partial win for Trump - but at a high cost
The path to the two-week ceasefire with Iran may have fundamentally altered the way the rest of the world views the US.",1
Google open-sources experimental agent orchestration testbed Scion,1
"Fake Australian, Chinese and Brazilian police stations: BBC goes inside a seized scam compound
Almost nothing was known about the Royal Hill casino until the Thai military took control of it in December.
1 day ago
Asia",1
Protect Your Shed,1
"Chilean woman accused of Pinochet-era kidnaps loses extradition battle
Adriana Rivas moved from Chile to Australia in the 1970s, working there as a nanny and cleaner.
17 hrs ago
World",1
"Anna Wintour's Legacy Was Style And Strategy. Now That She's Out, Let's Look At Both",0
11 Wholesome Behind-The-Scene Facts About 'Panchayat' We Bet You Didn't Know,0
"WHO suspends Gaza medical evacuations after contractor killed by Israeli troops
Israel's military says troops fired at a vehicle driven by the Palestinian because they believed it posed ""an immediate threat"".
16 hrs ago
Middle East",1
"I Watched Indian Content Creators Play The Real-Life Squid Game, And Now Want A Squid-Game Theme Park",0
"How China fell for a lobster: What an AI assistant tells us about Beijing's ambition
The AI agent sparked a frenzy of ""raising lobsters"" in March, with users training the tool to suit their needs.
2 days ago
Asia",1
A database of analog cameras that can be 3D printed,1
Create Your Own 'Bridgerton' Storyline And We'll Tell You Your 'Bridgerton' Soulmate,0
JD Vance backs Orbán's re-election bid in Budapest visit and hits out at EU,1
Akshaye Khanna Has Been Underrated For Way Too Long—Let This Quiz Set The Record Straight,0
Rescuing old printers with an in-browser Linux VM bridged to WebUSB over USB/IP,1
Choose Between Iconic Pop Looks And Get A Diet Coke Combo To Sip On,0
"What we know about the two-week ceasefire between the US and Iran
The provisional truce comes more than a month after the US and Israel launched coordinated attacks on Iran.",1
Cambodia unveils statue to honour famous landmine-sniffing rat,1
Pick Your Way Through Lewis Hamilton’s Fashion Choices And I’ll Reveal Your True F1 Race Track Energy,0
"I Just Found Out Why It’s Called A Tennis Bracelet, And It Is Peak Sports Drama",0
Did Kerala Techie Fake Trekking Survival Story? Questions Raised In Karnataka,1
ACE on a USB→HDMI Adapter,1
"22 Wildly Popular Products With Over 1,000 Positive Reviews On Amazon",0
We Bet You Can't Correctly Define Even Half Of These Grindr Slang Terms,0
"15 Fictional Love Triangles That Made Me Feel Things I'm Not Emotionally Equipped To Handle, Ranked",0
9 Grindr Profiles Every Desi Queer Person Has Come Across,0
Indian & Indian American Voice Note Diet Swap,0
"Iran Issues 10-Point Ceasefire Conditions, Trump Says ""Plan Workable""",1
'Prudent To Wait And Watch': RBI Keeps Repo Rate Unchanged At 5.25%,1
Binary obfuscation used in AAA Games,1
"Emergency jabs after 100 children die of suspected measles in a month in Bangladesh
More than 100 people, mostly children, have been killed by measles since mid-March, officials suspect.
2 days ago
Asia",1
Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,1
"US journalist Shelly Kittleson released after kidnap in Iraq, officials say",1
Show HN: An interactive map of Tolkien's Middle-earth,1
A blind man made it possible for others with low vision to build Lego sets,1
"13 Wimbledon Facts That Made Me Go Wait, What?",0
"Has Artemis II shown we can land on the Moon again?
The Artemis II mission has been near flawless to date, but has the test flight shown Nasa is ready to send humans to the lunar surface?
14 hrs ago
US & Canada",1
"""Lebanon Not Included In Ceasefire"": Netanyahu Differs From Shehbaz Sharif",1
Design Your Dream Summer Vacation And We'll Reveal Which 'The Summer I Turned Pretty' Character You're Destined For,0
"Taiwan opposition leader visits China for expected meeting with Xi Jinping
Cheng Li-wun said she ""gladly accepted"" Xi Jinping's invitation and hopes to be a ""bridge for peace"".
22 hrs ago
Asia",1
'Back To Stone Ages' To 'Golden Age': Trump's Stark Shift In Tone In Iran War,1
