title,url,source,label
Everyone In 'The Devil Wears Prada 2' Has Been Announced And The Cast List Is *So* Good,https://www.buzzfeed.com/kanksharaina/the-full-cast-of-the-devil-wears-prada-2,BuzzFeed,FAKE
Medieval Castles Have The Most Disturbing Histories And I'm Literally Shaking After Reading These Stories,https://www.buzzfeed.com/tanishtha_kotian/12-absolutely-bone-chilling-medieval-castle-tales,BuzzFeed,FAKE
"Social Media Has Completely Transformed How We Consume, And It's Not Just About Matcha Getting Sold Out",https://www.buzzfeed.com/tanishtha_kotian/has-global-consumerism-led-to-shortages-of-ingredients,BuzzFeed,FAKE
"I Just Found Out Why It’s Called A Tennis Bracelet, And It Is Peak Sports Drama",https://www.buzzfeed.com/arsheenkaur44/why-is-it-called-a-tennis-bracelet,BuzzFeed,FAKE
I Switched From An Indian School To An American School For 6 Years—Here Are 13 Things That Gave Me A Major Culture Shock,https://www.buzzfeed.com/tanishtha_kotian/14-culture-shocks-as-an-indian-in-american-school,BuzzFeed,FAKE
Your Personality Will Reveal The Unusual Beauty Treatment That's Perfect For You,https://www.buzzfeed.com/kanksharaina/unconventional-beauty-treatment-based-on-your-personality,BuzzFeed,FAKE
Akshaye Khanna Has Been Underrated For Way Too Long—Let This Quiz Set The Record Straight,https://www.buzzfeed.com/arsheenkaur44/akshaye-khanna-has-been-quietly-brilliant-for-years-so-lets,BuzzFeed,FAKE
AI Vs Local | Mumbai Matcha Drinks,https://www.buzzfeed.com/watch/video/243657,BuzzFeed,FAKE
Survive The Apocalypse And We’ll Reveal Exactly How Your Friend Group Will Betray You,https://www.buzzfeed.com/arsheenkaur44/survive-the-apocalypse-and-well-reveal-exactly-how-your,BuzzFeed,FAKE
"Your ""Criminal Minds"" Episode Choices Will Reveal Which BAU Agent Would Be Your Perfect Partner",https://www.buzzfeed.com/tanishtha_kotian/pick-your-favorite-criminal-minds-episode-from-each-season,BuzzFeed,FAKE
The Internet Is Blowing Up Over Ranveer Singh Romancing 20-Year-Old Sara Arjun In 'Dhurandhar',https://www.buzzfeed.com/arsheenkaur44/bollywoods-age-gap-trope-is-back-thanks-to-ranveer-singhs,BuzzFeed,FAKE
Pick Your Way Through Lewis Hamilton’s Fashion Choices And I’ll Reveal Your True F1 Race Track Energy,https://www.buzzfeed.com/arsheenkaur44/lewis-hamiltons-fashion-quiz,BuzzFeed,FAKE
"We're Closer To 2050 Than 2000, And Here Are 61 Moments In Pop Culture The Defined The Past 25 Years",https://www.buzzfeed.com/tanishtha_kotian/here-are-61-moments-from-the-last-25-years,BuzzFeed,FAKE
This McDonald's In Budapest Transforms Into A Full-On Nightclub And I'm Spiraling,https://www.buzzfeed.com/arsheenkaur44/i-just-found-out-this-mcdonalds-in-budapest-turns-into-a,BuzzFeed,FAKE
Nitesh Tiwari's 'Ramayana' Just Dropped Its First Look And It Is Perfect,https://www.buzzfeed.com/kanksharaina/the-first-glimpse-of-nitesh-tiwaris-ramayana-is-out-and-it,BuzzFeed,FAKE
"Anna Wintour's Legacy Was Style And Strategy. Now That She's Out, Let's Look At Both",https://www.buzzfeed.com/arsheenkaur44/anna-wintour-just-stepped-down-lets-talk-about-the-power,BuzzFeed,FAKE
8 Tropes I Have Come Across On Wattpad That Have Me Physically Recoiling,https://www.buzzfeed.com/tanishtha_kotian/8-tropes-on-wattpad-that-have-me-revolted,BuzzFeed,FAKE
Who Has The Best Chaayos Order?,https://www.buzzfeed.com/watch/video/242767,BuzzFeed,FAKE
Build Your Perfect Partner And We'll Guess Your Love Language,https://www.buzzfeed.com/kanksharaina/love-language-quiz,BuzzFeed,FAKE
Design Your Ultimate Bizarre Snack Platter And We'll Tell You What Gen Z Archetype You Truly Are,https://www.buzzfeed.com/arsheenkaur44/build-your-dream-unhinged-snack-plate-and-well-tell-you,BuzzFeed,FAKE
Christopher Nolan Just Announced His Cast For The Odyssey And I'm Literally Having A Film Geek Meltdown Right Now,https://www.buzzfeed.com/arsheenkaur44/christopher-nolans-the-odyssey-has-a-wildly-stacked-cast,BuzzFeed,FAKE
Assemble Your Perfect Indian 'Brooklyn Nine-Nine' Squad And We'll Guess The Episode You Can't Stop Quoting,https://www.buzzfeed.com/tanishtha_kotian/create-indian-b99-squad-and-ill-guess-your-fave-episode,BuzzFeed,FAKE
"I Watched Indian Content Creators Play The Real-Life Squid Game, And Now Want A Squid-Game Theme Park",https://www.buzzfeed.com/kanksharaina/i-watched-indian-content-creators-play-the-real-life-squid,BuzzFeed,FAKE
7 Fabulous LGBTQ+ Owned Restaurants In India That Deserve All Your Money Right Now,https://www.buzzfeed.com/tanishtha_kotian/7-lgbtq-owned-and-supported-restaurants-across-india,BuzzFeed,FAKE
"I Was Getting Tired Of Modern Dating, And Then 'Materialists' Came Out And Made Me Feel Again",https://www.buzzfeed.com/tanishtha_kotian/materialists-and-modern-dating,BuzzFeed,FAKE
Prada Sent Kolhapuris Down The Runway Without Any Credit And We Need To Talk About This Cultural Theft,https://www.buzzfeed.com/arsheenkaur44/kolhapuris-walked-the-prada-runway-but-got-zero-credit-lets,BuzzFeed,FAKE
We Bet You Can't Correctly Define Even Half Of These Grindr Slang Terms,https://www.buzzfeed.com/aqibspeaks/can-you-correctly-guess-what-these-grindr-slang-terms-mean,BuzzFeed,FAKE
Who *Had* The Best Zepto Cafe Order?,https://www.buzzfeed.com/watch/video/242768,BuzzFeed,FAKE
Your Superhero Choices Will Expose What Kind Of Evil Villainous Origin Story You'll Have,https://www.buzzfeed.com/tanishtha_kotian/pick-your-superheroes-and-well-reveal-your-villain-backstory,BuzzFeed,FAKE
9 Times Justin Bieber Reminded Us That Being A Husband Isn’t Exactly His Strong Suit,https://www.buzzfeed.com/arsheenkaur44/9-times-justin-bieber-reminded-us-that-being-a-husband-isnt,BuzzFeed,FAKE
"8 Times Jonathan Bailey Was So Adorably Chaotic Online, He Deserves To Be Protected At All Costs",https://www.buzzfeed.com/tanishtha_kotian/these-8-chaotic-yet-cute-internet-moments-of-jonathan,BuzzFeed,FAKE
Create Your Own 'Bridgerton' Storyline And We'll Tell You Your 'Bridgerton' Soulmate,https://www.buzzfeed.com/kanksharaina/plan-your-dream-bridgerton-season,BuzzFeed,FAKE
11 Wholesome Behind-The-Scene Facts About 'Panchayat' We Bet You Didn't Know,https://www.buzzfeed.com/arsheenkaur44/11-wholesome-behind-the-scene-facts-about-panchayat-we-bet,BuzzFeed,FAKE
Choose Between Iconic Pop Looks And Get A Diet Coke Combo To Sip On,https://www.buzzfeed.com/tanishtha_kotian/choose-iconic-outfits-and-try-a-new-diet-coke-recipe,BuzzFeed,FAKE
